country,points,price,region_1,winery,description
US,90.0,24.0,Long Island,WÃ¶lffer,"This unusual rosÃ© blends Merlot rosÃ© with substantial portions of Chardonnay, Cabernet Franc and GewÃ¼rztraminer, highlighting textural and flavor attributes from each. It's luscious in mouthfeel with a dense concentration of tropical fruit flavors, yet brisk and effortlessly quaffable. A delightful new take on a Hamptons classic."
US,86.0,10.0,Columbia Valley (WA),14 Hands,"Merlot, Cabernet and Syrah form the core of this wildly successful red blend from Ste. Michelle Wine Estates. Soft and juicy, it's packed with flavors of vanilla, pipe tobacco and cola, while keeping the stuffing and structure of a substantial wine. An appealing red blend, especially for consumers new to wine."
Spain,87.0,20.0,Priorat,Cesca Vicent,"Red plum and currant aromas are a touch soupy but also suggestive of cherry Kool-Aid. This Garnacha-led blend is clacky and fairly acidic on the palate, but then it turns on itself to show raisin, loam and baked plum flavors. A lively finish gives it a boost out the door."
France,94.0,100.0,Nuits-St.-Georges,Domaines Devillard,"The Devillards own 99% of this 8.5-acre Premier Cru and so feel they can describe it as a quasi-monopoly. Vines dating back to 1922 give immense concentration as well as rich black fruits. The wine is spicy with a strongly mineral texture, red-berry fruits and black cherries. It is a wine for aging, so drink from 2022."
France,90.0,38.0,Corse,Clos Venturi,"This perfumed wine, with its lychee aromas, is full and rich. That aromatic character continues on the palate, giving rich spice and lychee flavors that are cut with just enough acidity. It's full bodied and ripe and will be ready to drink from 2018."
Spain,84.0,9.0,La Mancha,ViÃ±a San Juan,"This blend of Chardonnay, Viura and Verdejo is light in body, with stalky haystack aromas and dilute nectarine and melon flavors. Its yeasty finish is somewhat bland."
Spain,88.0,30.0,Navarra,Inurrieta,"After a whiff of iodine arises, the nose on this blend of Merlot and Cabernet Sauvignon offers mostly jammy berry scents in front of a full palate containing zesty acidity. Flavors of red plum, salt, cherry and cranberry finish long and without any excess weight or push."
US,88.0,20.0,Wahluke Slope,Seven Falls,"Mocha, vanilla, woodspice and cherry aromas are at the front of this barrel-forward wine. Flavors display a mixture of fruit and barrel, with the latter winning out on the finish. The variety seems a bit lost but it provides plenty of pleasure."
US,87.0,22.0,Virginia,Fabbioli Cellars,"Notes of potpourri, pepper, dark cherry and raspberry are well established and alluring. It has an open-feeling core, with buffed tannins and a juicy, textured finish. 80% Cabernet Franc, plus 10% Cabernet Sauvignon, 5% Tannat and 5% Petit Verdot."
Spain,89.0,29.0,Costers del Segre,Mas Blanch I JovÃ©,"Oaky aromas of almond, vanilla and peach settle on a palate with grip and acidity. Flavors of toasted almond, baked apple and briny apricot finish with forward acidity. This is a blend of Garnacha Blanca and Macabeo, but it's the white Garnacha that sticks out."
US,86.0,49.0,Sonoma Valley,Ty Caton,"Tastes its best now, with jammy blackberry, cherry and raspberry flavors, and a rich overlay of oak. The tannins and acids are soft and gentle."
France,91.0,27.0,Alsace,FrÃ©dÃ©ric Mallo,"Subdued but promising apple-ripeness on the nose leads to a rounded, fully mature palate that rings with fresh and dried apple. There are hints of hay and and a wonderfully, clean core of lemon freshness that is supremely well cushioned on these rich, intense flavors. Drink 2016??019."
Argentina,94.0,90.0,La Consulta,Zuccardi,"This pitch-dark, fully extracted Malbec from La Consulta in Mendoza's Uco Valley delivers blackberry, black pepper and brushy herbal aromas on what amounts to a massive, spot-on bouquet. Big, chewy and tannic on the palate, with earthy, roasted flavors of blackberry, prune, savory spices and raw oak, this finishes meaty, slightly salty and strong, with wild herb and black-fruit flavors. Drink through 2022."
US,87.0,35.0,Paso Robles,J. Lohr,"More like the 2000 than the richer '97 or '99, J. Lohr's 2005 Hilltop Cab is very fruity, but a little too soft. The cherry, currant, chocolate, anise and spicy plum flavors have a melted quality. Drink soon."
US,90.0,60.0,Walla Walla Valley (WA),Bontzu,"The aromas are alluring, with notes of stem, dried herb, white pepper, cigar box and raspberry. The palate is chock-full of raspberry flavors that show a pleasing purity, and the finish lingers, showing just a touch of heat."
US,86.0,24.0,Russian River Valley,Y Rousseau,"Sourced from Saralee's Vineyard-Matthew Station, it offers indelible savory and herbal notes, a chewy sense of wild strawberry and a drying finish for a curious, more thirst-quenching take on Tannat."
Italy,85.0,60.0,Chianti Classico,Villa Calcinaia,"This opens with aromas that recall moist underbrush, grilled sage, menthol and a whiff of cellar floor. The brisk, diluted palate offers raw red cherry, oak and a hint of star anise alongside stinging acidity and astringent tannins that leave a raspy finish. It lacks fruit richness."
Italy,93.0,60.0,Barolo,Marziano Abbona,"This is an especially delicious Barolo that relies on dark concentration and impressive aromatic intensity to make its point. Balsam notes of cola and root beer are set against bright fruit and spice. The wine's solid structure is enhanced by a soft, velvety finish."
US,93.0,45.0,Green Valley,Freeman,"Butter, hazelnut and marzipan aromas give a lush first impression, and then vibrant lemon and green-apple acidity provides a firm, balancing effect. This bright-gold, full-bodied wine is concentrated, layered and deep, without being too rich or heavy. Subtle nuances of nutmeg and ginger add to its complexity on the finish."
Spain,83.0,16.0,Ribera del Duero,Felix Callejo,"Cherry and mild sawdust aromas are brought down by sharpness that is almost vinegar-like. The palate has an acceptable mouthfeel along with sweet and sour flavors of plum and berry. Tart on the finish, and a bit stemmy and sharp throughout."
Spain,83.0,19.0,EmpordÃ ,Castillo de Perelada,"An oddball blend of many grapes that offers a spicy oak cover and sweet, earthy notes from front to back. But it's hard as nails, with blazing acidity, the result of which is a clacky, rough wine. On the plus side it has interesting flavors with tobacco and citrus notes."
US,91.0,38.0,Temecula Valley,Robert Renzoni,"Brown spices of clove and nutmeg decorate the nose of this solid bottling that offers a bit of dried blueberry in the deep background. The palate's presentation is very elegant and mellow, with black plum and blackberry fruit well integrated into graphite minerality and dried sagebrush, leaving a touch of tannins in the mouth."
US,93.0,80.0,Red Mountain,Gorman,"Light purple in color, this aromatically appealing, fruit-forward wine has notes of dark plum, dried herbs and peppery spices along with a mocha top note. It's plump and velvety in feel, with concentrated yet lithe fruit flavors that linger effortlessly on the long, fruit-filled finish that kicks it up a notch."
France,86.0,20.0,Cahors,ChÃ¢teau Fantou,"This spicy wine with its aromatic character is fruity while also having some structure. The 90% Malbec/10% Merlot blend has a dry core, juicy red currant fruits and considerable acidity. With only a minimum of wood aging, it is ready to drink."
Italy,84.0,20.0,Valpolicella Classico Superiore,Monte Santoccio,"Prune, grilled herb and a whiff of salted-game aromas carry over to the light-bodied palate along with dried black cherry and a hint of clove. It's Ã¼ber-simple, with loose fleeting tannins."
US,93.0,115.0,Napa Valley,Jarvis,"Dark gold in color, this decadent wine is robust in toasted chestnut and hazelnut layers which are rich and powerful on the seamless palate. The oak shows prominently on the nose and palate but finds its balance on the finish, allowing the wine to end with polish and reserve."
Italy,92.0,29.0,Soave Classico,Gini,"This enticingly fragrant wine offers scents of white spring flower, apple, ginger and flint. On the elegantly structured palate, radiant acidity underscores crisp apple, Bosc pear, white peach and lemon drop, while a salty mineral note closes the tangy finish. It's an impressive effort for what was overall a washout vintage. Drink through 2024."
US,83.0,40.0,Alexander Valley,Rezonja,"This Cab-based Bordeaux blend is harsh and tannic, with baked berry and currant flavors. May be technically dry, but tastes sugary sweet."
US,90.0,135.0,Napa Valley,Pont de Chevalier,"The pedigree of the vineyard shows in this Cab. It's as intensely ripe as Cabernet gets, with a massive core of blackberry jam, cassis liqueur and chocolate, enriched with sweet new oak. But it's so balanced in tannins and acidity that it never feels over-the-top. The alcohol is quite high, though, which may limit ageability."
US,88.0,30.0,Chalk Hill,Reaper,"Despite the grim reference to the hooded guy with the scythe, this is a lively Cabernet, that's rich and tasty in flavor. At nearly four years of age, it's ready to drink now, with soft tannins framing blackberry, mocha and oak flavors."
Argentina,87.0,13.0,Salta,Ruca Malen,"Zesty, tropical aromas are clean and approachable. This is a patio wine with juicy grapefruit and lime flavors. Lean notes of citrus grace a sharp, pointed finish."
France,91.0,27.0,Moulin-Ã -Vent,Georges Duboeuf,"This has the structure expected from a wine in Moulin-Ã -Vent. It is dense, with a dry, dark core of tannins. The acidity, red plums and black-currant fruit characteristics give the potential for freshness along with a ripe future. Drink from 2017."
Italy,86.0,25.0,Sicilia,Fazio,"This easygoing red opens with fruity aromas of plum, wild berry and a whiff of violet. The informal palate offers red cherry, pomegranate and a hint of clove alongside round, rather fleeting tannins."
US,89.0,19.0,Yolo County,Midsummer Cellars,"A bright pink color and absolutely fresh grapefruit aromas suggest a crisp and lively wine, and that's what this 88% Grenache and 12% Viognier delivers. The flavors are quite dry but vivid, like lemon, tart cherry and ruby grapefruit. The texture is lean, the body is not heavy and the finish is tangy."
Italy,89.0,20.0,Romagna,CondÃ©,"Made with 95% Sangiovese and 5% Merlot, this opens with aromas of French oak, blackberry, coconut and a whiff of dark spice. The medium-bodied palate doles out plum, roasted coffee bean and a hint of licorice alongside fine-grained tannins. Enjoy through 2019."
US,92.0,42.0,Russian River Valley,Balletto,"From a steep hillside vineyard that is estate owned and farmed, this wine is pungent in dark fruit and black tea. Elusive at first, it takes time to open and reveal classic Sebastopol Hills elements of earth and black cherry, finishing awash in cardamon."
Spain,91.0,27.0,Priorat,Celler Pasanau,"Thick, raisiny berry aromas come with notes of licorice, mineral and black peppercorn. Feels tight and juicy, with zesty red fruit flavors, sweet black fruit flavors and shadings of schisty minerality and licorice. Smooth and sturdy on the finish."
US,90.0,60.0,Russian River Valley,Della,"This balanced and fuller style of Pinot Noir celebrates the classic traits of Russian River's warmer pockets. It offers plenty of dark fruit, from blackberry to raspberry and black cherry, with sultry, fine-hewn tannins and juicy texture."
US,89.0,12.0,California,Montevina,"A wonderful creamy texture accompanies ripe cherry and blackberry flavors in this full-bodied, smooth and mellow wine. Rich cherry and cappucino flavors fill the corners of the mouth, mingling with a velvety layer of fine tannins."
Italy,95.0,61.0,Barolo,Paolo Scavino,"What a fabulous vintage for this fragrant, radiant wine. Opening with alluring scents of iris, rose, culinary spice and perfumed berry, the focused palate delivers crushed strawberry, red cherry, cinnamon and star anise. It's loaded with finesse, thanks to firm ultrarefined tannins and bright acidity. Drink 2022??033."
Italy,89.0,25.0,Etna,Cantine Russo,"Aromas of moist underbrush, saddle leather, dried herb, menthol and a whiff of game take shape in the glass. The firm palate offers raw sour cherry, cranberry, cinnamon and a hint of tobacco while close-grained tannins provide the framework and leave an astringent finish. Give the tannins a few more years to unwind then drink."
US,88.0,47.0,Walla Walla Valley (WA),Reininger,"This 100% varietal wine is a blend of fruit from Pepper Bridge and XL vineyards. It offers intriguing aromas of sandalwood, rose petal, wood spice and black currant, with the oak a bit out front. The dark-fruit flavors are reserved in style, tapering toward the finish."
US,86.0,14.0,North Coast,Murphy-Goode,"An easy-drinking Sauvignon Blanc thats fermented in barrel and stainless steel, this has a depth of pear, tangerine and lime flavors. Creamy and rich, it will make a consistent companion to most fish dishes."
US,94.0,25.0,Red Mountain,Kiona,"Kiona's ice wines are legendary, and this latest is as excellent as any they've done. Butterscotch scents invite further exploration. As the wine coats the mouth, it comes into lush focus with brown sugar, molasses, vanilla, cooked banana and more butterscotch. It's low in alcohol, but maintains sufficient acidity to stay buoyant and lively. Residual sugar is a hefty 170 g/L."
US,92.0,30.0,Santa Cruz Mountains,Domaine Eden,"Grapefruit rind, yogurt, sour cream and warm pear show on the nose of this bottling. There is great acidity on the sip, with a mango cream and tropical fruit touch, but those elements coalesce into a rich, roasted-almond-driven palate as the wine breathes."
Italy,88.0,75.0,Franciacorta,Fratelli Berlucchi,"This opens with aromas of bread crust, ripe orchard fruit and a citrusy note. The creamy palate offers baked yellow apple, vanilla and toasted hazelnut alongside a soft perlage."
France,90.0,21.0,Bordeaux SupÃ©rieur,ChÃ¢teau de ParenchÃ¨re,"While there are strong wood flavors here, the wine also has a good rich weight from the blackberry fruits. It is a concentrated wine with spice and some dry tannins that will integrate well. Drink this fine wine from 2018."
Spain,93.0,27.0,Toro,Abelis Carthago,"The Lui & William bodega is behind this outstanding Tempranillo from Toro. The wine shows a brilliant violet tint in front of intense, inky aromas of black cherry and chocolate cake. The palate is superripe and bucks like a bronco; the tannins are dense and form titanic structure, and the finish of coffee and spice hints at a fine cigar. It's a huge load at 15%, so be prepared."
US,88.0,28.0,Santa Maria Valley,Highflyer,"This Chardonnay is rich and decadent with plenty of ripe fruit and oak. It's a crowd pleaser with flavors of mangoes, pineapples, limes, buttered toast and vanilla, all brightened by acidity."
US,93.0,70.0,Howell Mountain,W.H. Smith,"This is a lovely wine, classically rendered in cedar, herb and red cherry. The dried herb and forest floor elements persist on the palate, with bursts of acidity giving it life and lingering persistence, the tannins well-integrated."
Italy,89.0,39.0,Alto Adige,Tenuta Peter SÃ¶lva & SÃ¶hne,"Delicately scented, this offers aromas suggesting hay, elderflower and a whiff of exotic fruit. The elegantly structured palate delivers gooseberry, grapefruit, kiwi and mineral framed in lively acidity."
Italy,89.0,32.0,Valpolicella Classico Superiore Ripasso,Montecariano,"Braised lamb shanks or cotechino sausage with lentils are two pairing possibilities for this dense wine. It has a bright touch of acidity that would clean the palate of those rich foods. The aromas of red cherry and tobacco are present, but won't overwhelm the food."
US,92.0,45.0,Russian River Valley,De Loach,"Fantastically bright acidity defines this wine, the winery's ?finest selection,??which is memorable for its crisp black cherry and strawberry core of fruit. Voluptuous and silky on the palate, it carries a hint of Asian spice throughout, the slightest taste of wild vanilla wrapping things up on the finish."
US,90.0,39.0,Columbia Valley (WA),Baer,"A lighter Ursa than recent vintages, the 2009 is a young purple-violet color, with grapy aromas and a broad, fruity palate. Hints of roasted nuts express barrel aging, and the wine has good grip, though the fruit flavors at this stage are still primary. Give this one some further bottle age to smooth out."
US,85.0,22.0,Russian River Valley,River Road,"Sparkling wine is all about texture, and the mouthfeel on this Chardonnay-based bubbly lacks refinement. The bubbles are scoury and the finish is rough. Still, it has rich citrus, yeast, honey and pear flavors."
Italy,94.0,60.0,Etna,Pietro Caciorgna,"Here's a surprise from Mt. Etna that blew us away. Made by Pietro Caciorgna, this is a delicate and linear wine with pristine aromas of blue flower, delicate forest fruit and black stone. It represents the best of elegant winemaking with that unmistakable blast of volcanic power at the rear."
Argentina,91.0,20.0,Mendoza,Zuccardi,"A home run in middle-tier Malbec. Excellent power and balance are on display. It's firm, minerally and tight, but with generous berry and cassis aromas and flavors along with ample coffee, spice and mocha qualities. Impressive, especially given the price tag; drink now through 2014."
France,90.0,36.0,Puisseguin Saint-Ãmilion,ChÃ¢teau Langlais,"The vineyard surrounds a 14th century castle, built by the English. The wine from organically grown grapes, is rich and full. Still with some tannins while also with rich black fruits, it is structured, ripe and generous. The wine is ready to drink, although keeping it until 2017 will make it even better."
US,91.0,60.0,Dundee Hills,Sokol Blosser,"Though replanted, the vines designated for this bottling were taken from cuttings of the original vineyard blocks dating back to the early 1970s. Pretty in color, aroma and overall balance, this offers substantial black cherry fruit at its core, buttressed with barrel flavors of cacao. The wine shows good penetration and power, helped by aging 16 months in 38% new barrels."
Spain,85.0,15.0,Montsant,Tossals,"A vibrant purple color and foxy berry aromas announce the jammy palate and punchy acidity of this wine. It tastes of herbal plums and berries and doesn't hold up on the oaky, pulpy finish."
US,90.0,45.0,Russian River Valley,Merry Edwards,"Sourced from six different vineyards, this is a broadly pleasing wine, fruity in blackberry and raspberry that veers even into cranberry and cassis territory without getting bogged down. Substantial and lush, it's tightly woven in tannin and savory herb, ready to open itself over time. Patience will reward with more exotic interweavings of vanilla-cola and tea."
Italy,86.0,10.0,Montepulciano d'Abruzzo,Talamonti,"Here's a terrific value wine that would pair with ground beef, grilled sausage or oven-baked lasagna with meat sauce. The wine has a dark, concentrated color, and it opens with generous aromas of black berry and tobacco."
France,86.0,9.0,Vin de Pays de L'Herault,Moulin de Gassac,"A crisp, fresh, intensely dry wine that is balanced by some ripe caramel and red currant flavors. This is a rosÃ© in the Provence tradition, dry, designed for food."
US,83.0,7.0,Monterey County,Hilltown,"Tastes semisweet, like a lemon, lime and pineapple cough drop. But the acidity is brisk and cleansing, and lots of people will enjoy this affordable wine."
US,90.0,62.0,Sonoma County,Passaggio,"The numbers represent the grapes within: 75% Merlot, 23% Cabernet Sauvignon and 2% Petit Verdot. High in acidity, it shows a crispness of red berry, its core juicy and easy to like. Integrated oak keeps things simple and round, with leather and tobacco poking their heads on the finish."
US,82.0,18.0,Livermore Valley,Cedar Mountain,"A bizarre wine weird-aromas and flavors. Smells smoky-sweet, like cotton candy, with mint and peach puree, and has similar flavors. Hard to tell if it's dry or sweet."
US,83.0,26.0,Alexander Valley,Antic,"An 84% Cabernet Sauvignon with 12% Cabernet Franc and 4% Malbec, it reveals a plethora of oak nestled around dried cranberry, bittersweet chocolate and cigar. Medium bodied, it benefits from additional time in the glass."
France,84.0,10.0,CÃ´tes du RhÃ´ne,Clerget,"Red fruits dominate this wine, which features medium body and minimal tannin. A hint of nail polish intrudes on the nose of cherries and red raspberries, but the wine finishes with a fine, silky feel. Drink now."
France,95.0,46.0,Alsace,Domaine Weinbach,"Subtle notes of earth mix with summer blossom, along with hints of honey, quince and zesty, fresh lemon peel. These aromas dance and take turns on the dry, balanced palate that shines both with rich fruit and slender tone. Lemony freshness pervades everything with its brightness. This is lovely now but will be even lovelier over the years. Drink 2016??030."
US,88.0,17.0,Edna Valley,Tangent,"This region is known for producing lean whites from grapes that tend to be blousy in warmer zones, and this bottling is no exception. It shows crushed chalk, pomelo and gardenia aromas on the nose and is tense on the palate, its grippy white rock flavors accented with Granny Smith apple notes."
Argentina,80.0,15.0,LujÃ¡n de Cuyo,Staphyle,"Murky, stewy, soupy aromas deliver little to no freshness or fruit, while the palate is tannic and tastes bitter, mildly weedy and minty. Seems roasted and devoid of quality. Unclean and unimpressive."
France,85.0,8.0,Vin de Pays des CÃ´tes de Gascogne,Producteurs Plaimont,"Fragrant and floral, this is a deliciously easy wine, a blend of the local Gascon Colombard grape with Ugni Blanc. There are flavors of grapefruit, white fruits and a light, crisp green aftertaste. Screwcap."
US,91.0,22.0,Napa Valley,Silverado,"The 2009 vintage was a great one for this bottling, which was too sweet in 2008. This one's more like the '05, only richer and better. It feels nice and crisp and dry, with polished, complex citrus fruit, white flower, peach and mineral flavors."
France,91.0,24.0,Alsace,Domaine Schoffit,"Honeysuckle richness and lemon freshness vie for attention on the nose. The palate comes in with lots of concentration and very pithy, almost bitter texture as well as residual sweetness. Together they create balance and a very intense tangy finish and leave a lasting impression."
France,93.0,95.0,Condrieu,Michel & StÃ©phane Ogier,"Like the rest of the 2012 Condrieus recently tasted, this is full-bodied and rich without being overdone. Apricot and ginger aromas lead into flavors reminiscent of honeycomb, white pepper and apricot. The texture is slightly oily, but that's balanced on the finish by peppery spice."
US,92.0,24.0,Sonoma County,Lambert Bridge,"Seems very oaky, with in-your-face aromas of vanilla, char and pepper, but the fruit is able to support it. In fact, the underlying flavors are rich and gorgeous. It shows Cabernet's cassis and blackberry aromatics, with the soft tannins and velvety, drink-me-now texture of Merlot."
US,90.0,45.0,Sonoma County,Kendall-Jackson,"Big mountain fruit here throws powerful aromas of ripe plum, thyme and bacon, while full-scale oaking yields maple aromas, vanilla flavors, and coffee on the finish. The wood element is a little weighty at this point, but there's solid fruit to support it."
US,95.0,52.0,Sonoma Coast,Failla,"This is one of Failla's riper, fruitier 2012 Pinots. Classic Sonoma Coast Pinot, with brisk acidity and complex flavors, it shows wild raspberry, cherry and blueberry fruits, persimmons, cola, and earthier notes of sautÃ©ed wild mushrooms and truffles. It's dry, tannic and tart, but as good as it is now, it will improve by resting until 2020."
US,90.0,24.0,Ribbon Ridge,Chehalem,"This is dry, crisp and nicely detailed, with a persistent, clean and fresh mouthfeel. Notes of cucumber, salad greens and citrus, notably lime and grapefruit, are underscored with appealing minerality. This remains one of the highlights of Chehalem's expansive portfolio."
France,87.0,22.0,Sancerre,Henri Bourgeois,"This brand new, crisp and fresh wine is so young. Even a rosÃ© can benefit from a few months aging, and this wine with its tight red fruits and lightly tannic texture will be better being drunk after the summer when its fruitiness will explode in the mouth. It is ripe, light and packed with acidity at the end."
Italy,91.0,35.0,Bolgheri Superiore,Ferrari Iris e Figli,"This 80-20 blend of Cabernet Sauvignon and Cabernet Franc shows a bright cherry aroma, with spice, leather and tar notes in the background. It shows a soft, plush feel, with good balance."
Australia,87.0,18.0,Barossa Valley,Lambert,"Medium to full in weight and opulent in texture, this is a buttery creamy wine that reflects its South Australian origin. Broad and rich, it's a throwback to a previous generation's style of Chardonnay."
US,90.0,25.0,Red Hills Lake County,Chacewater,"Dark color and black fruit aromas set the expectation for a big wine, but this is remarkably well-balanced, poised and smooth. Its black cherry and blackberry flavors are satifying, dry and not overripe, and its hints of cocoa add delicious complexity."
US,90.0,30.0,Dundee Hills,Stoller,"Stoller offers fine value across its entire portfolio. This is solidly crafted and estate-grown, from the heart of the Dundee Hills AVA. There's a gentle touch of new oak, among a flavorful mix of strawberries, cherries and oranges. The moderate alcohol signals a balanced wine with ample acidity. Drink now through 2022."
Spain,93.0,89.0,Rioja,RemÃ­rez de Ganuza,"Nice, brawny and integrated, with sexy aromas of wild berry, dark plum, leather and earth. The palate has the right weight and tannic grab, while the flavors of black fruit, fine herbs, cola and coffee are measured yet generous. Finishes with driving chocolate and vanilla flavors. Drink now through 2016."
US,89.0,14.0,Columbia Valley (WA),Wondrous,"Primarily Cabernet Sauvignon and Merlot, this wine opens with aromas of dried herb and blue and black fruit, along with a toasty top note. The flavors show restraint, with firm tannins backing them up. The concentration isn't all there in the middle but there's still much to enjoy."
US,83.0,11.0,Paso Robles,Rubberneck,"Robust and fleshy, this is soft, easy and slightly sweet. It has pie-filling flavors of blackberries and peppery spices."
Italy,91.0,110.0,Toscana,Tenuta Sette Cieli,"Made entirely from Cabernet Franc, this opens with aromas of blueberry, cedar and a whiff of rosemary. The juicy polished palate offers red currant, raspberry and Mediterranean herb. It closes on a vanilla note. Drink through 2022."
US,82.0,7.0,California,Glen Ellen,"Has slight but clean wildflower and peach aromas, and drinks light but fruity, with apple and peach notes. Seems a little off-dry, but with adequate acidity. Nothing wrong with this low-priced, everyday-style wine."
France,92.0,160.0,Champagne,Ayala,"Just slightly richer than the Brut Nature from the same vintage, this Brut is still a wonderfully dry Champagne. It has a fine hint of toasty maturity while the fruit is still full of the crispest citrus flavors. Drink over the next 4?? years."
Italy,89.0,46.0,Toscana,Cafaggio,"Made entirely with Merlot, this opens with subdued aromas of ripe plum and vanilla. The aromas carry through to the robust palate, together with tobacco and clove. Round tannins provide soft support. Drink through 2019."
US,88.0,15.0,Sonoma Valley,Kunde,"Shows the exotic fruitiness of Viognier, with a blast of tangerines, pineapples, Meyer lemons, limes and green apples, with flowery honeysuckle and jasmine notes. The wine shows subtle oak notes, but is mainly notable for its forward flavors, elegant dryness and crisply bright acidity."
US,93.0,45.0,Napa Valley,Four Cairn,"A dramatically rich Syrah made along Northern RhÃ´ne lines. Dry, full-bodied and tannic, its flavors now are primary and fresh, suggesting summer blackberries, a few of them shriveled into raisins, and the whole sprinkled with cassis and black pepper. Needs time. Better after 2013."
Italy,86.0,13.0,Alto Adige,Tramin,"Tramin presents this fresh, easy-drinking Chardonnay that boasts coolclimate aromas of stone fruit, white flower and citrus. It's zesty and clean in the mouth and perfect for seafood salad."
US,88.0,40.0,Russian River Valley,Bucher,"This is the producer's first barrel-aged Chardonnay, made from a blend of two vineyards and two clones, including one from their own estate on Westside Road. Sour and sweet alternatively, it finds a steely path to balance and soft layers of apple, Asian pear and a touch of ginger-topped butterscotch."
Italy,94.0,100.0,Barolo,Castello di Verduno,"Powerfully built, this opens with a potpourri of aromas including pressed rose, violet, mature berry, baking spice and a whiff of leather. Dried black cherry, licorice, pipe tobacco, nutmeg and a balsamic note wrap around the gripping palate alongside a backbone of ripe, assertive tannins. Hold for even more complexity. Drink 2020??032."
US,89.0,25.0,Anderson Valley,V. Sattui,"Aromas like melon and almond, then flavors like peach and honey make a sophisticated blend in this dry, light-bodied wine. It has vibrant acidity for good balance and richness in texture that lingers on the finish. The name refers to the egg-shaped concrete vats used for fermentation."
US,93.0,35.0,Dundee Hills,Stoller,"Crafted from estate-grown Dijon clones, this outstanding effort offers sophisticated flavors of pear, quince, ginger and lemon curd, wrapped together in a buttered-nut finish. Barrel fermentation helps smooth the way into a beautifully balanced, ageworthy style."
US,89.0,35.0,Columbia Valley (WA),Columbia Crest,"The blend here is two-thirds Merlot, 20% Cabernet Sauvignon and 12% Cabernet Franc. Tight and toasty, it carries a hint of green tannins that show up in an astringent, lightly chalky finish. The fruit is sharp and herbal, with a suggestion of heat."
US,86.0,23.0,San Benito County,Manzoni,"Dark mauve in color, nearly approaching a red-wine tone, this shows a fruit-forward nose of red cherries and strawberry jam. The palate is a mix of tart, sour and grippy texture, with cherry fruit and plum-skin flavors."
US,82.0,26.0,Central Coast,Calcareous,"Overripe, with apricot and pear flavors, although it's dry. The wine feels heavy and syrupy in the mouth, lacking vibrancy."
France,84.0,20.0,Bordeaux,Vinum Natura,"A balanced wine, showing attractive fruitiness, ripe black currants and soft tannins. It's likely to be ready to drink soon."
France,86.0,20.0,Saint-VÃ©ran,Domaine du Chalet Pouilly,"Full and soft, this is a ripe and creamy wine, with generous melon and rich apple fruits. It is already delicious, though simple."
US,95.0,35.0,Spring Mountain District,Galerie,"Aged in a combination of concrete egg, stainless steel and new French oak, this winning white is a study in peach and apricot?it's incredibly inviting in both taste and aroma. A layer of honey adds succulence without sweetness, as it remains dry and balanced through the mineral-laden finish."
France,87.0,35.0,Mercurey,Domaines Devillard,"Fresh, soft and fruity, this is brightened by a jammy red-fruit flavor and light acidity. It has a juicy character, with underlying attractive, gentle tannins."
Italy,88.0,35.0,Collio,Venica & Venica,"Aromas of acacia, nut and yellow stone fruit lead the nose. It's ripe and round, offering dried apricot, bread crust, golden apple and a note of bitter almond."
US,88.0,19.0,Willamette Valley,Benton-Lane,"Barrel-fermented and aged in 15% new French oak, this is Pinot Blanc done in a Chardonnay style. Buttery and toasty, with light Asian pear and green apple fruit, it's balanced and drinking nicely, best for near-term consumption."
US,85.0,20.0,Carneros,Artesa,"Forward fruit and oak flavors mark this clean, swift Chardonnay. The palate boasts apricot, papaya and buttered toast flavors, balanced with crisp acidity."
Italy,90.0,55.0,Amarone della Valpolicella Classico,Le Ragose,"Dried plum, grilled bell pepper, exotic spice, chocolate and savory herb aromas waft out of the glass. The structured palate delivers prune, graphite, licorice and tobacco alongside big but polished tannins. It has a succulent finish, closing on a mineral note."
US,93.0,40.0,Lake County,Langtry,"Easily the best Merlot in memory from Lake County, this one stands next to anything from Napa Valley, which is just over the hill from the vineyard. Shows a gorgeous tannin structure, with ripe, complex flavors of blackberries, cherries, red currants, mocha, green olives and cedar."
US,87.0,45.0,Russian River Valley,Sonnet,"A lighter-style Pinot, in both mouthfeel and flavor. Silky and gentle in the mouth, it has pleasant flavors of cherry and raspberry pie filling, sprinkled with anise, cinnamon, ground cloves, pepper, orange zest and vanilla."
France,88.0,26.0,MÃ©doc,ChÃ¢teau Greysac,"While this is a firm wine, full of dry tannins and smoky wood-aging flavors, it also has plenty of ripe and juicy fruit. Red berry and black currant show strongly, filling the wine out and promising roundness as it ages. Drink from 2017."
US,91.0,28.0,Columbia Valley (WA),William Church,"A Bordeaux blend of five grapes, this melds blackberry and black cherry fruit with plenty of toasty oak and ground coffee. It's a nice mix of fruit and barrel, dark and smoky, but not too heavy at 14.2% alcohol."
Italy,87.0,20.0,Valpolicella Classico Superiore Ripasso,Degani,"Ripasso Cicilio shines bright with personality and freshness. This territory-driven wine boasts clean aromas of berry fruit, light shadings of spice and a touch of sweet cinnamon. It's easy, crisp mouthfeel washes clean over the palate."
US,86.0,30.0,Santa Barbara County,Rancho Sisquoc,"Dense blueberry, concentrated purple flowers and a touch of tar show on the nose of this bottling of a fairly rare grape in the region. The palate intrigues with tar, beef crust and tart, tannic elderberry fruit, but it's quite wound up in a very solid structure that still needs time to unwind."
